# Required | A unique content ID for the item. Use the item's SKU if you can. Each content ID must appear only once in your catalog. To run dynamic ads this ID must exactly match the content ID for the same item in your Meta Pixel code. Character limit: 100,# Required | A specific and relevant title for the item. See title specifications: https://www.facebook.com/business/help/2104231189874655 Character limit: 150,# Required | A short and relevant description of the item. Include specific or unique product features like material or color. Use plain text and don't enter text in all capital letters. See description specifications: https://www.facebook.com/business/help/2302017289821154 Character limit: 9999,# Required | The current availability of the item. | Supported values: in stock; out of stock | Supported values: in stock; available for order; preorder; out of stock; discontinued,# Required | The condition of the item. Enter one of the following: new; refurbished; used | Supported values: new; refurbished; used,# Required | The price of the item. Format the price as a number followed by the 3-letter currency code (ISO 4217 standards). Use a period (.) as the decimal point; don't use a comma.,# Required | The URL of the specific product page where people can buy the item.,# Required | The URL for the main image of your item. Images must be in a supported format (JPG/GIF/PNG) and at least 500 x 500 pixels.,# Required | The brand name of the item. You can also enter a unique manufacturer part number (MPN) or Global Trade Item Number (GTIN) instead. A GTIN can be one of the following: UPC; EAN; JAN; ISBN. Character limit: 100.,# Optional | The Google product category for the item. Learn more about product categories: https://www.facebook.com/business/help/526764014610932.,# Optional | The Facebook product category for the item. Learn more about product categories: https://www.facebook.com/business/help/526764014610932.,# Optional | The quantity of this item you have to sell on Facebook and Instagram with checkout. Must be 1 or higher or the item won't be buyable,# Optional | The discounted price of the item if it's on sale. Format the price as a number followed by the 3-letter currency code (ISO 4217 standards). Use a period (.) as the decimal point; don't use a comma. A sale price is required if you want to use an overlay for discounted prices.,# Optional | The time range for your sale period. Includes the date and time/time zone when your sale starts and ends. If this field is blank any items with a sale_price remain on sale until you remove the sale price. Use this format: YYYY-MM-DDT23:59+00:00/YYYY-MM-DDT23:59+00:00. Enter the start date as YYYY-MM-DD. Enter a 'T'. Enter the start time in 24-hour format (00:00 to 23:59) followed by the UTC time zone (-12:00 to +14:00). Enter '/' and then repeat the same format for your end date and time. The example row below uses PST time zone (-08:00).,# Optional | Use this field to create variants of the same item. Enter the same group ID for all variants within a group. Learn more about variants: https://www.facebook.com/business/help/2256580051262113 Character limit: 100.,# Optional | The gender of a person that the item is targeted towards. | Supported values: female; male; unisex,# Optional | The color of the item. Use one or more words to describe the color. Don't use a hex code. Character limit: 200.,# Optional | The size of the item written as a word or abbreviation or number. For example: small; XL; 12. Character limit: 200.,# Optional | The age group that the item is targeted towards. | Supported values: adult; all ages; infant; kids; newborn; teen; toddler,# Optional | The material the item is made from; such as cotton; denim or leather. Character limit: 200.,# Optional | The pattern or graphic print on the item. Character limit: 100.,# Optional | Shipping details for the item. Format as Country:Region:Service:Price. Include the 3-letter ISO 4217 currency code in the price. Enter the price as 0.0 to use the free shipping overlay in your ads. Use ';' to separate multiple shipping details for different regions or countries. Only people in the specified region or country will see shipping details for that region or country. You can leave out the region (keep the double '::') if your shipping details are the same for an entire country.,# Optional | The shipping weight of the item. Include the unit of measurement (lb/oz/g/kg).,
id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight,
INS-T-PS22-0096-8,Patiowell 10' x 10' Metal Storage Shed Brown,"Patiowell 10 x 10 FT outdoor
storage shed is made of
galvanized steel plate with high
corrosion resistance which can
provide you with an outdoor
storage space.",in stock,new,759.99 USD,https://www.patiowell.com/products/metal-shed-t-ps22-0096-8,https://img.patiowell.com/products/6535dd23800b5.jpg!800x,Patiowell,"Home & Garden > Lawn & Garden > Outdoor Living >
Outdoor Structures > Sheds, Garages & Carports","ClothSheds, Garages & Carports > Metal shed > Patiowelling & Accessories > Clothing",75,624.99 USD,2023-10-20T09:30-08:00/2024-10-20T23:59-08:00,,unisex,Brown,10X10,adult,Metal,,US:CA:Ground:0 USD,,123.5kg
INS-T-PS22-0096-GY,Patiowell 10' x 10' Metal Storage Shed Grey,"Patiowell 10 x 10 FT outdoor
storage shed is made of
galvanized steel plate with high
corrosion resistance which can
provide you with an outdoor
storage space.",in stock,new,759.99 USD,https://www.patiowell.com/products/metal-shed-t-ps22-0096-gy,https://img.patiowell.com/products/64644c867cdad.jpg!800x,Patiowell,"Home & Garden > Lawn & Garden > Outdoor Living >
Outdoor Structures > Sheds, Garages & Carports","ClothSheds, Garages & Carports > Metal shed > Patiowelling & Accessories > Clothing",75,624.99 USD,2023-10-20T09:30-08:00/2024-10-20T23:59-08:00,,unisex,Grey,10X10,adult,Metal,,US:CA:Ground:0 USD,,123.5kg
